Generic Name,SMILES,SMILES (InChI Key),Confidence,Permeability Class,Papp (*10E-6 cm/s)
3-Methylpentane,CCC(C)CC,PFEOZHBOMNWTJB-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,52.07231537
Cyclohexane,C1CCCCC1,XDTMQSROBMDMFD-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,51.82598273
Diacetyl,CC(=O)C(C)=O,QSJXEFYPDANLFS-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,51.53225657
(Â±)-2-Methylbutanal,CCC(C)C=O,BYGQBDHUGHBGMD-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,51.16235213
Butanone,CCC(C)=O,ZWEHNKRNPOVVGH-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,50.70588567
Butanal,CCCC=O,ZTQSAGDEMFDKMZ-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,50.70588567
Phenylacetaldehyde,O=CCC1=CC=CC=C1,DTUQWGWMVIHBKE-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,50.05146691
Ethyl furoate,CCOC(=O)C1=CC=CO1,NHXSTXWKZVAVOQ-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,49.08136701
(-)-Limonene,C=C(C)[C@@H]1CC=C(C)CC1,XMGQYMWWDOXHJM-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,47.79784437
Acetone,CC(C)=O,CSCPPACGZOOCGX-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,47.35916772
Dodecanoic acid,CCCCCCCCCCCC(=O)O,POULHZVOKOAJMA-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,47.2679943
p-Cymene,CC1=CC=C(C(C)C)C=C1,HFPZCAJZSCWRBC-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,47.12747347
Benzyl methyl sulfide,CSCC1=CC=CC=C1,OFQPKKGMNWASPN-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,46.17723716
Undecanoic acid,CCCCCCCCCCC(=O)O,ZDPHROOEEOARMN-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,44.43408113
Pyrimidine,C1=CN=CN=C1,CZPWVGJYEJSRLH-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,43.7546866
L-Octanoylcarnitine,CCCCCCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C,CXTATJFJDMJMIY-UHFFFAOYSA-N,LOW CONFIDENCE,High permeability,43.46880304
1-Hexanol,CCCCCCO,ZSIAUFGUXNUGDI-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,43.35625813
1-Heptanol,CCCCCCCO,BBMCTIGTTCKYKF-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,43.35625813
Phenol,OC1=CC=CC=C1,ISWSIDIOOBJBQZ-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,43.34526704
5-Dodecenoic acid,CCCCCC/C=C/CCCC(=O)O,IJBFSOLHRKELLR-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,43.02332512
11-Dodecenoic acid,C=CCCCCCCCCCC(=O)O,GZZPOFFXKUVNSW-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,43.02332512
Dimethyldisulfide,CSSC,WQOXQRCZOLPYPM-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,42.97399835
trans-Cinnamic acid,O=C(O)/C=C/C1=CC=CC=C1,WBYWAXJHAXSJNI-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,42.62012199
2-Methylpropanal,CC(C)C=O,AMIMRNSIRUDHCM-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,42.58480912
(+)-10-Methyldodecanoic acid,CCC(C)CCCCCCCCC(=O)O,YETWOCQNUTWSQA-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,42.20559966
Phenylacetic acid,O=C(O)CC1=CC=CC=C1,WLJVXDMOQOGPHL-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,42.17460998
Isopentanol,CC(C)CCO,PHTQWCKDNZKARW-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,41.8106265
1-Pentanol,CCCCCO,AMQJEAYHLZJPGS-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,41.8106265
2-Pentanol,CCCC(C)O,JYVLIDXNZAXMDK-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,41.8106265
Capric acid,CCCCCCCCCC(=O)O,GHVNFZFCNZKVNT-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,41.78383531
Acetaldehyde,CC=O,IKHGUXGNUITLKF-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,40.98907439
Benzoic acid,O=C(O)C1=CC=CC=C1,WPYMKLBDIGXBTP-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,40.93779703
(Â±)-2-Heptanol,CCCCCC(C)O,CETWDUZRCINIHU-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,40.75989336
o-Cresol,CC1=CC=CC=C1O,QWVGKYWNOKOFNN-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,39.72696298
Caprylic acid,CCCCCCCC(=O)O,WWZKQHOCKIZLMA-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,39.480991
1-Butanol,CCCCO,LRHPLDYGYMQRHN-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,39.02440406
(S)-2-Methyl-1-butanol,CCC(C)CO,QPRQEDXDYOZYLA-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,38.98083251
Pelargonic acid,CCCCCCCCC(=O)O,FBUKVWPVBMHYJY-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,38.92037262
3-Methylfuran,CC1=COC=C1,KJRRQXYWFQKJIP-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,38.67840041
Trimethylamine,CN(C)C,GETQZCLCWQTVFV-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,38.2915656
Tridecanoic acid,CCCCCCCCCCCCC(=O)O,SZHOJFHSIKHZHA-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,37.89552536
11-Methyldodecanoic acid,CC(C)CCCCCCCCCC(=O)O,SIOLDWZBFABPJU-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,37.89552536
2-Methylbenzoic acid,CC1=CC=CC=C1C(=O)O,ZWLPBLYKEWSWPD-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,37.77519066
Heptanoic acid,CCCCCCC(=O)O,MNWFXJYAOYHMED-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,37.71986341
N-Heptanoylglycine,CCCCCCC(O)=NCC(=O)O,RNFCYFVPNIXAHP-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,37.55377711
Isovalerylcarnitine,CC(C)CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,IGQBPDJNUXPEMT-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,37.36586601
Isovaleryl-L-carnitine,CC(C)CC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C,IGQBPDJNUXPEMT-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,37.36586601
p-Cresol,CC1=CC=C(O)C=C1,IWDCLRJOBJJRNH-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,37.3624009
m-Cresol,CC1=CC=CC(O)=C1,RLSSMJSEOOYNOY-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,37.3624009
Cyclohexylamine,NC1CCCCC1,PAFZNILMFXTMIY-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,36.97024503
9-Decenoic acid,C=CCCCCCCCC(=O)O,KHAVLLBUVKBTBG-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,36.40099901
Isobutanol,CC(C)CO,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,35.8190087
Benzylamine,NCC1=CC=CC=C1,WGQKYBSKWIADBV-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,35.7727429
7Z-tetradecenoic acid,CCCCCC/C=C\CCCCCC(=O)O,ZVXDGKJSUPWREP-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,35.51417962
Propyl alcohol,CCCO,BDERNNFJNOPAEC-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,35.39647147
12-Methyltridecanoic acid,CC(C)CCCCCCCCCCC(=O)O,YYVJAABUJYRQJO-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,35.39244036
Diacetone alcohol,CC(=O)CC(C)(C)O,SWXVUIWOUIDPGS-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,35.34093441
Phenylethylamine,NCCC1=CC=CC=C1,BHHGXPLMPWCGHP-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,35.02478435
Methanethiol,CS,LSDPWZHWYPCBBB-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,35.00002998
10Z-Pentadecenoic acid,CCCC/C=C\CCCCCCCCC(=O)O,APXSAEQXOXTDAM-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,34.81629705
Ethyl glutarate,CCOC(=O)CCCC(=O)OCC,OUWSNHWQZPEFEX-UHFFFAOYSA-N,LOW CONFIDENCE,High permeability,34.22728981
3-Decenoic acid,CCCCCC/C=C\CC(=O)O,CPVUNKGURQKKKX-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,34.22114597
Caproic acid,CCCCCC(=O)O,FUZZWVXGSFPDMH-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,34.21662889
Isovaleric acid,CC(C)CC(=O)O,GWYFCOCPABKNJV-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,34.21662889
Valeric acid,CCCCC(=O)O,NQPDZGIKBAWPEJ-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,34.21662889
Methyl jasmonate,CC/C=C\C[C@@H]1C(=O)CC[C@H]1CC(=O)OC,GEWDNTWNSAZUDX-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,34.04918189
5-Tetradecenoic acid,CCCCCCCC/C=C\CCCC(=O)O,AFGUVBVUFZMJMX-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,34.02624954
Myristoleic acid,CCCC/C=C\CCCCCCCC(=O)O,YWWVWXASSLXJHU-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,34.02624954
9E-tetradecenoic acid,CCCC/C=C/CCCCCCCC(=O)O,YWWVWXASSLXJHU-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,34.02624954
13-Methylmyristic acid,CC(C)CCCCCCCCCCCC(=O)O,ZOCYQVNGROEVLU-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,33.79466237
(+)-12-Methyltetradecanoic acid,CCC(C)CCCCCCCCCCC(=O)O,XKLJLHAPJBUBNL-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,33.79466237
4-Ethylphenol,CCC1=CC=C(O)C=C1,HXDOZKJGKXYMEW-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,33.72172105
Myristic acid,CCCCCCCCCCCCCC(=O)O,TUNFSRHWOTWDNC-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,33.47558158
Aniline,NC1=CC=CC=C1,PAYRUJLWNCNPSJ-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,33.29135026
3E-tetradecenoic acid,CCCCCCCCCC/C=C/CC(=O)O,KYQLBACAKNAOOC-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,33.27298427
Lipoic acid,O=C(O)CCCC[C@@H]1CCSS1,AGBQKNBQESQNJD-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,33.24271082
Ethanol,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,33.23466663
Linoleic acid,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,OYHQOLUKZRVURQ-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,33.21295551
Bovinic acid,CCCCCC/C=C/C=C\CCCCCCCC(=O)O,JBYXPOFIGCOSSB-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,33.21295551
Linoelaidic acid,CCCCC/C=C/C/C=C/CCCCCCCC(=O)O,OYHQOLUKZRVURQ-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,33.21295551
"trans-11,cis-15-Octadecadienoic acid",CC/C=C\CC/C=C/CCCCCCCCCC(=O)O,HHELYEVVXBEXIZ-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,33.21295551
"12E, 14E-Octadecadienoic acid",CCC/C=C/C=C/CCCCCCCCCCC(=O)O,NLGIQISOWDWGRJ-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,33.21295551
"11E, 13E-Octadecadienoic acid",CCCC/C=C/C=C/CCCCCCCCCC(=O)O,JGFMXQLVWUGIPI-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,33.21295551
"10E, 12E-Octadecadienoic acid",CCCCC/C=C/C=C/CCCCCCCCC(=O)O,GKJZMAHZJGSBKD-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,33.21295551
"8E, 10E-Octadecadienoic acid",CCCCCCC/C=C/C=C/CCCCCCC(=O)O,QJKCKUNKNNYJNS-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,33.21295551
"7E, 9E-Octadecadienoic acid",CCCCCCCC/C=C/C=C/CCCCCC(=O)O,HACBQSMIIGXKGA-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,33.21295551
Propyl formate,CCCOC=O,KFNNIILCVOLYIR-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,33.11884289
(S)-14-Methylhexadecanoic acid,CCC(C)CCCCCCCCCCCCC(=O)O,FXUKWLSZZHVEJD-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,33.07811078
Isopalmitic acid,CC(C)CCCCCCCCCCCCC(=O)O,ZONJATNKKGGVSU-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,33.07811078
15-Methylhexadecanoic acid,CC(C)CCCCCCCCCCCCCC(=O)O,IIUXHTGBZYEGHI-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,33.07811078
Trimethylamine N-oxide,C[N+](C)(C)[O-],UYPYRKYUKCHHIB-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,33.0200798
1-Penten-3-ol,C=CC(O)CC,VHVMXWZXFBOANQ-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,32.97785722
Oleic acid,CCCCCCCC/C=C\CCCCCCCC(=O)O,ZQPPMHVWECSIRJ-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,32.10213286
Palmitic acid,CCCCCCCCCCCCCCCC(=O)O,IPCSVZSSVZVIGE-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,32.10213286
Stearic acid,CCCCCCCCCCCCCCCCCC(=O)O,QIQXTHQIDYTFRH-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,32.10213286
Heptadecanoic acid,CCCCCCCCCCCCCCCCC(=O)O,KEMQGTRYUADPNZ-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,32.10213286
Vaccenic acid,CCCCCC/C=C/CCCCCCCCCC(=O)O,UWHZIFQPPBDJPM-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,32.10213286
10Z-Heptadecenoic acid,CCCCCC/C=C\CCCCCCCCC(=O)O,GDTXICBNEOEPAZ-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,32.10213286
cis-13-Octadecenoic acid,CCCCC=CCCCCCCCCCCCC(=O)O,BDLLSHRIFPDGQB-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,32.10213286
(Z)-9-Heptadecenoic acid,CCCCCCC/C=C/CCCCCCCC(=O)O,QSBYPNXLFMSGKH-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,32.10213286
cis-11-Octadecenoic acid,CCCCCC/C=C\CCCCCCCCCC(=O)O,UWHZIFQPPBDJPM-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,32.10213286
cis-12-Octadecenoic acid,CCCCC/C=C\CCCCCCCCCCC(=O)O,OXEDXHIBHVMDST-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,32.10213286
cis-15-Octadecenoic acid,CCC=CCCCCCCCCCCCCCC(=O)O,KSIKGJKZYDOVFA-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,32.10213286
trans-10 Octadecenoic acid,CCCCCCC/C=C/CCCCCCCCC(=O)O,QXJSBBXBKPUZAA-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,32.10213286
trans-12-Octadecenoic acid,CCCCC/C=C/CCCCCCCCCCC(=O)O,OXEDXHIBHVMDST-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,32.10213286
trans-13-Octadecenoic acid,CCCC/C=C/CCCCCCCCCCCC(=O)O,BDLLSHRIFPDGQB-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,32.10213286
trans-14-Octadecenoic acid,CCC/C=C/CCCCCCCCCCCCC(=O)O,JQBJOWDLTJOBRO-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,32.10213286
trans-15-Octadecenoic acid,CC/C=C/CCCCCCCCCCCCCC(=O)O,KSIKGJKZYDOVFA-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,32.10213286
trans-16-Octadecenoic acid,C/C=C/CCCCCCCCCCCCCCC(=O)O,DPUHOWDIWWPPIP-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,32.10213286
trans-4-Octadecenoic acid,CCCCCCCCCCCCC/C=C/CCC(=O)O,OBNDIDKDLXSSCB-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,32.10213286
trans-5-Octadecenoic acid,CCCCCCCCCCCC/C=C/CCCC(=O)O,AQWHMKSIVLSRNY-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,32.10213286
trans-6-Octadecenoic acid,CCCCCCCCCCC/C=C/CCCCC(=O)O,CNVZJPUDSLNTQU-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,32.10213286
trans-7-Octadecenoic acid,CCCCCCCCCC/C=C/CCCCCC(=O)O,RVUCYJXFCAVHNC-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,32.10213286
trans-8-Octadecenoic acid,CCCCCCCCC/C=C/CCCCCCC(=O)O,WRIDQFICGBMAFQ-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,32.10213286
13Z-Octadecenoic acid,CCCC/C=C\CCCCCCCCCCCC(=O)O,BDLLSHRIFPDGQB-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,32.10213286
10E-heptadecenoic acid,CCCCCC/C=C/CCCCCCCCC(=O)O,GDTXICBNEOEPAZ-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,32.10213286
8E-heptadecenoic acid,CCCCCCCC/C=C/CCCCCCC(=O)O,ZBIGLIMGCLJKHN-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,32.10213286
Civetic acid,CCCCCCCC/C=C\CCCCCCC(=O)O,ZBIGLIMGCLJKHN-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,32.10213286
9E-Octadecenoic acid,CCCCCCCC/C=C/CCCCCCCC(=O)O,ZQPPMHVWECSIRJ-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,32.10213286
2-Ethylacryloylcarnitine,C=C(CC)C(=O)OC(CC(=O)[O-])C[N+](C)(C)C,AUFJTEGVQXGXTG-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,31.74638818
2-Methylbutyroylcarnitine,CCC(C)C(=O)OC(CC(=O)[O-])C[N+](C)(C)C,IHCPDBBYTYJYIL-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,31.5913142
Dimethyl sulfone,CS(C)(=O)=O,HHVIBTZHLRERCL-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,31.53046759
Alpha-Linolenic acid,CC/C=C/C/C=C/C/C=C/CCCCCCCC(=O)O,DTOSIQBPPRVQHS-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,31.22401663
Calendic acid,CCCCC/C=C\C=C\C=C\CCCCCCC(=O)O,DQGMPXYVZZCNDQ-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,31.22401663
Jacaric acid,CCCCC/C=C\C=C\C=C/CCCCCCC(=O)O,DQGMPXYVZZCNDQ-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,31.22401663
beta-Calendic acid,CCCCC/C=C/C=C/C=C/CCCCCCC(=O)O,DQGMPXYVZZCNDQ-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,31.22401663
Thymol,CC1=CC(O)=C(C(C)C)C=C1,MGSRCZKZVOBKFT-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,31.21887229
Butyrylcarnitine,CCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C,QWYFHHGCZUCMBN-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,31.02633507
Pentadecanoic acid,CCCCCCCCCCCCCCC(=O)O,WQEPLUUGTLDZJY-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,30.9610204
Lycopodic acid,CCCC/C=C/CCCCCCCCCC(=O)O,JGMYDQCXGIMHLL-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,30.9610204
11Z-hexadecenoic acid,CCCC/C=C\CCCCCCCCCC(=O)O,JGMYDQCXGIMHLL-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,30.9610204
5Z-hexadecenoic acid,CCCCCCCCCC/C=C\CCCC(=O)O,KVXIRQZWCOAYRD-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,30.9610204
trans-2-Dodecenoylcarnitine,CCCCCCCCC/C=C/C(=O)O[C@@H](CCC(=O)[O-])[N+](C)(C)C,JEOZLTJHDSKQIT-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,30.64959644
Tetrahydrofuran,C1CCOC1,WYURNTSHIVDZCO-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,30.55514142
Isopropyl alcohol,CC(C)O,KFZMGEQAYNKOFK-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,30.36811112
"9Z,15Z-octadecadienoic acid",CC/C=C\CCCC/C=C\CCCCCCCC(=O)O,AWGFYZFANDHELM-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,30.35403902
Pyrocatechol,OC1=CC=CC=C1O,YCIMNLLNPGFGHC-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,30.34192554
Dimethylamine,CNC,ROSDSFDQCJNGOL-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,30.15711574
Valerylcarnitine,CCCCC(=O)O[C@H](CC(=O)O)C[N+](C)(C)C,VSNFQQXVMPSASB-UHFFFAOYSA-O,HIGH CONFIDENCE,High permeability,30.13588326
Betaine,C[N+](C)(C)CC(=O)[O-],KWIUHFFTVRNATP-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,29.51309406
Pivaloylcarnitine,CC(C)(C)C(=O)OC(CC(=O)[O-])C[N+](C)(C)C,YICAQFPUDACYGQ-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,29.44246623
Isobutyryl-L-carnitine,CC(C)C(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C,LRCNOZRCYBNMEP-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,29.16651192
Gamma-Linolenic acid,CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)O,VZCCETWTMQHEPK-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,29.12571986
